,link,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10
0,CHNNSMJRCCR002:Bundle-Ether707:Bundle-Ether1:CHNNTHURAAR001,54,139,0,38,102,234,0,468,72,0
1,MUMBKHIRCCR001:Bundle-Ether720:Bundle-Ether2:MUMBNRMPAAR001,20,20,0,0,20,20,153,1258,344,0
2,DLHIPHGNAAR001:Bundle-Ether1:Bundle-Ether705:NOIDNDFDCCR001,50,20,0,20,22,5,0,471,1202,0
3,MUMBMTNRAAR001:Bundle-Ether899:Bundle-Ether899:MUMBPOSRAAR001,25,168,32,139,40,175,55,307,172,0
4,BGLRGGTACCR001:Bundle-Ether855:Bundle-Ether1:MGLRFMHSAAR002,43,134,22,19,178,343,486,838,332,0
5,NGPRSNGNCCR001:Bundle-Ether240:Bundle-Ether240:NOIDNDFDCCR001,67,128,112,129,69,39,77,193,446,0
6,BGLRRSDCAAR001:Bundle-Ether1:Bundle-Ether706:BGLRUPKWCCR001,70,171,28,56,43,154,107,866,220,0
7,HNJWWDGNICR002:Bundle-Ether329,116,105,144,208,175,120,208,1045,675,0
8,MUMBKHIRICR001:Bundle-Ether329,114,104,157,220,204,123,208,1058,665,0
9,BBSRBDGLCCR001:Bundle-Ether853:Bundle-Ether899:RRKLRGACAAR001,20,101,192,37,26,23,32,103,185,0
10,GWHTDSPRAAR001:Bundle-Ether1:Bundle-Ether704:GWHTISBTCCR001,7,0,0,20,0,49,94,734,390,0
11,DLHIVKDECCR001:Bundle-Ether710:Bundle-Ether2:NOIDAVG1AAR001,163,113,57,102,98,91,759,0,0,0
12,DLHIVKDECCR001:Bundle-Ether709:Bundle-Ether2:GZBDKLPRAAR001,72,0,40,20,0,0,72,1255,332,0
13,MUMBKHIRCCR001:Bundle-Ether50:Bundle-Ether2:MUMBVWSNAAR001,27,154,114,86,112,101,38,140,161,0
14,HNJWWDGNCCR001:Bundle-Ether707:Bundle-Ether1:PUNEKLCLAAR001,22,138,100,59,142,135,108,810,190,0
15,DLHIVKDECCR001:Bundle-Ether708:Bundle-Ether2:FDBDSHS9AAR001,180,153,93,130,29,94,67,453,306,0
